citation_key,decision,confidence,reason
Ahmed2021,uncertain,0.55,ML手法は中心的に使用されているが、出力が高級言語のソースコードや擬似コードの修復になるかが要旨だけでは判定できず、全テキストで入力‑出力の詳細確認が必要
Al-Kaswan2023,exclude,0.95,目的は逆コンパイルされた関数の自然言語要約生成であり、デコンパイルや可読性向上が主目的ではなく要約（summarization）が中心（EX-A4）。
Arasteh2025,exclude,0.95,目的はロボットファームウェアのモジュール検索・自然言語要約であり、デコンパイルは手段に過ぎず、出力は高級言語ソースや擬似コードの高級化ではないため、EX‑A2（検索・取得）とEX‑B2に該当します。
Armengol-Estapé2022,exclude,0.95,目的がCからx86へ変換するコンパイルであり、デコンパイルや可読性向上が主目的ではないため除外
Armengol-Estapé2024,include,0.95,論文はシーケンス‑to‑シーケンストランスフォーマーを中心に使用し、最適化アセンブリから高級言語相当のコードを生成することを主目的としている。入力はアセンブリ、出力は可読性と正確性を高めた高級コードで、全てのIN条件と範囲を満たすため、デコンパイル研究として採択すべき。
Arranz-Olmos2025,exclude,0.97,ML/DLが研究の中心技術として使用されておらず、デコンパイルはCT解析の前処理に過ぎないため、IN1を満たさずEX-IN1に該当する。
Banerjee2021,include,0.95,ML/DL（Transformer/BERT）が中心で、デコンパイル出力の変数名予測という可読性向上（高級化）を主目的としており、入力はデコンパイラ出力、出力は変数名付与された擬似コードで範囲内に該当するため
Bielik2020,exclude,0.96,目的はコードモデルの敵対的ロバスト性の評価・改善であり、デコンパイルや可読性向上が主目的ではない（EX-A）
Bu2025,exclude,0.95,目的がバイトコードからの脆弱性検出であり、デコンパイルや可読性向上が主目的ではないため除外（EX-A3）。
Butz2020,exclude,0.97,入力がSPN（確率的モデル）で出力がBN（ベイジアンネットワーク）であり、バイナリやアセンブリから高級言語ソースコードへの復元・高級化を目的としていないためスコープ外です。
Cao2023,include,0.95,Transformerベースのモデルを中心に用い、デコンパイル出力に変数名・型情報を付加して可読性向上を目的としている。入力はデコンパイラ出力、出力は高級言語に近いコード（型・変数名付き）であり、全てのIN基準を満たす。
Cao2023,include,0.95,ML/DL（GNN）を中心に使用し、バイナリから高級言語（C/C++）へのデコンパイルを主目的とし、入力がバイナリ、出力が高級言語コードであるため、全てのIN条件を満たす。
Chakraborty2020,exclude,0.96,本研究は機械学習／ディープラーニングを手法の中心に用いていない（ML/DLが中核ではない）ため、IN1 を満たさず EX‑IN1 で除外
Chawla2026,exclude,0.95,目的はマルウェア検出（分類）であり、デコンパイルは副次的前処理にすぎないため、デコンパイル／可読性向上が主目的ではない（EX-A2）
Chen2021,include,0.78,MLを用いた変数名・型推定が提案の中心であり、目的はデコンパイル出力の可読性向上、入力はデコンパイル結果、出力は高級言語に近い変数名と型情報という範囲内であるため
Chen2025,exclude,0.96,目的が関数名復元や型推定といった属性推定（識別）であり、バイナリから高級言語コードや可読性向上された擬似コードを生成するデコンパイル／高級化ではないため (EX-A3)。
Chen2025,include,0.97,LLMが中核でデコンパイル・可読性向上を主目的としており、入力はバイトコード、出力は高級言語ソースコードであるため、全てのIN条件を満たす。
Chu2018,exclude,0.99,本文はIoT玩具のセキュリティ・プライバシー評価が主目的で、機械学習やディープラーニングは使用していない（IN1不成立）。デコンパイルは分析手段の一部であり、復元やコード高級化が目的ではないためEX‑IN1で除外。
Chukkol2024,exclude,0.95,目的がバイナリ脆弱性検出であり、デコンパイルは検出の前処理に過ぎないため、主目的がデコンパイル／可読性向上ではなくEX‑A3（脆弱性検出）に該当する。
Cotroneo2025,exclude,0.9,目的はバイナリの脆弱性予測であり、デコンパイルは副次的手段なのでEX-A3（脆弱性検出が主目的）に該当
Cristea2025,exclude,0.92,目的はマルウェア検出とCVEsの関連付けであり、デコンパイルやコード高級化が主目的ではなく、分類タスクに該当するため（EX-A1）
David2025,include,0.97,ML/DL（LLM）が提案の中心であり、目的はバイトコードから Solidity ソースへのデコンパイルで、入力はバイナリ、出力は高級言語コードと定義通りであるため。
Dramko2025,include,0.95,ML/DL（LLM）の微調整を中心手法として用い、バイナリやアセンブリから高級言語のソースコードと型定義を生成することが主目的であり、入力・出力がデコンパイル対象と高級化されたコードに該当するため、全てのIN条件を満たす。
Dramko2025,exclude,0.96,目的がニューラルデコンパイラの評価手法の提案であり、デコンパイルや可読性向上が主目的ではない（EX-A）
Enders2022,exclude,0.96,本文に機械学習・ディープラーニングの利用が記載されておらず、ML/DLが研究の中核でないため除外（EX-IN1）
Erinfolami2019,exclude,0.95,ML/DLが中核技術として使用されておらず、デコンパイルや可読性向上が主目的ではないため（EX-IN1）。
Erinfolami2020,exclude,0.93,ML/DLが研究の中心手法として示されておらず、目的はバイナリから仮想継承情報を回復することにあるため、IN1を満たさず除外（EX‑IN1）
Escalada2021,exclude,0.85,出力が関数の戻り型予測という型注釈のみで、主出力が高級言語ソースコード・擬似コード・AST 等の範囲に入らないため (EX-B3)。
Fang2024,include,0.94,LLMが中心的手法として使用され、WebAssemblyバイナリをC++ソースに逆コンパイルすることが主目的であり、入力と出力がスコープ内に収まっているため。
Feng2024,include,0.97,LLMを中心とした手法で、アセンブリから高級言語ソースへのデコンパイルを主目的としており、入力はアセンブリ、出力は高級言語コードで範囲内に合致するため
Feng2025,include,0.95,LLMを中核とした手法で、バイナリ/アセンブリから高級言語コードへの復元を主目的とし、入力・出力がデコンパイルの範囲に合致しているため。
